Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
iShares,IXN,iShares Global Tech ETF,4,Below Average,Bronze,5.0,45.6,45.6,45.6,31.9,37.6,24.1
Dimensional,DFSD,Dimensional Short-Duration Fixed Income ETF,4,Below Average,Gold,4.0,45.4,45.4,45.4,50.4,54.5,55.8
SPDR,XLE,State Street® Energy Select Sector SPDR® ETF,4,Average,Bronze,2.0,45.3,45.3,39.4,27.7,32.3,60.6
JPMorgan,JEPQ,JPMorgan Nasdaq Equity Premium Income ETF,5,Average,Bronze,4.0,45.3,45.3,38.3,30.4,25.4,44.7
Invesco,SPHQ,Invesco S&P 500® Quality ETF,5,Below Average,Silver,3.0,45.2,45.2,44.9,40.4,43.0,78.3
SPDR,SPYG,State Street® SPDR® Portfolio S&P 500 Growth ETF,4,Average,Silver,3.0,45.0,45.0,42.6,38.1,33.8,65.9
Dimensional,JHMM,John Hancock Multifactor Mid Cap ETF,4,Average,Bronze,3.0,44.9,44.9,44.9,41.1,52.3,50.5
iShares,ACWI,iShares MSCI ACWI ETF,4,Average,Bronze,2.0,44.9,44.9,41.2,37.5,31.0,44.5
SPDR,XLF,State Street® Financial Select Sector SPDR® ETF,4,Below Average,Neutral,3.0,44.7,44.7,43.2,40.1,44.2,48.6
iShares,IXG,iShares Global Financials ETF,4,Below Average,Bronze,3.0,44.6,44.6,44.6,44.6,44.6,78.9
Invesco,PPA,Invesco Aerospace & Defense ETF,5,Below Average,Neutral,2.0,44.4,44.4,42.9,44.9,27.2,26.7
Vanguard,VGK,Vanguard FTSE Europe ETF,4,Average,Gold,2.0,44.4,44.4,31.8,22.5,12.3,8.8
First Trust,FIW,First Trust Water ETF,4,Below Average,Neutral,5.0,44.2,44.2,44.2,44.2,43.5,29.9
iShares,IGRO,iShares International Dividend Growth ETF,4,Low,Gold,2.0,44.2,44.2,44.2,44.2,38.8,24.0
Vanguard,VT,Vanguard Total World Stock Index Fund ETF Shares,4,Average,Gold,2.0,44.2,44.2,44.1,34.5,29.8,46.7
Vanguard,VUG,Vanguard Growth Index Fund ETF Shares,4,Average,Gold,3.0,44.2,44.2,37.5,31.5,34.2,24.6
SPDR,XLRE,State Street Real Estate Select Sector SPDR ETF,4,Average,Bronze,3.0,44.1,44.1,51.3,51.4,56.2,61.0
First Trust,FPEI,First Trust Institutional Preferred Securities and Income ETF,5,Below Average,Neutral,3.0,44.0,44.0,44.0,54.3,53.1,16.9
Vanguard,VGT,Vanguard Information Technology Index Fund ETF Shares,4,Average,Bronze,4.0,43.9,43.9,36.0,31.5,25.9,38.2
Dimensional,DFCF,Dimensional Core Fixed Income ETF,5,Below Average,Bronze,4.0,43.8,43.8,44.2,53.7,32.3,100.0
iShares,HEFA,iShares Currency Hedged MSCI EAFE ETF,5,Low,Bronze,3.0,43.6,43.6,44.5,49.3,56.5,65.2
Vanguard,VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,4,Average,Gold,3.0,43.6,43.6,42.4,36.5,32.8,41.1
SPDR,DIA,State Street® SPDR® Dow Jones Industrial Average® ETF Trust,4,Average,Neutral,3.0,43.6,43.6,38.5,30.2,37.0,43.0
Schwab,FNDX,Schwab Fundamental U.S. Large Company ETF,5,Average,Silver,3.0,43.5,43.5,40.5,37.9,37.2,84.6
Schwab,SCHR,Schwab Intermediate-Term U.S. Treasury ETF™,4,Below Average,Silver,3.0,43.4,43.4,25.3,17.6,5.6,0.0
iShares,SMLF,iShares U.S. Small-Cap Equity Factor ETF,5,Average,Gold,4.0,43.3,43.3,43.3,48.4,43.5,32.6
iShares,ILCV,iShares Morningstar Value ETF,4,Below Average,Gold,3.0,43.3,43.3,43.3,43.3,47.6,27.5
iShares,URTH,iShares MSCI World ETF,5,Average,Bronze,3.0,43.3,43.3,37.7,65.4,41.6,48.4
Vanguard,VTV,Vanguard Value Index Fund ETF Shares,4,Average,Gold,3.0,43.2,43.2,42.2,38.8,36.7,46.1
iShares,IVW,iShares S&P 500 Growth ETF,4,Average,Silver,3.0,43.2,43.2,40.8,36.4,31.8,52.2
SPDR,SPY,State Street® SPDR® S&P 500® ETF Trust,4,Average,Silver,3.0,43.2,43.2,37.9,31.5,30.9,51.7
Vanguard,MGV,Vanguard Mega Cap Value Index Fund ETF Shares,5,Below Average,Silver,3.0,43.1,43.1,42.3,49.6,45.9,48.0
iShares,IWB,iShares Russell 1000 ETF,4,Average,Silver,3.0,43.1,43.1,36.2,34.3,37.4,44.7
First Trust,TDIV,First Trust NASDAQ Technology Dividend Index Fund,4,Low,Silver,4.0,42.9,42.9,42.9,38.4,33.8,18.8
Morgan Stanley,ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,4,Below Average,,4.0,42.7,42.7,42.7,43.2,24.9,0.0
SPDR,SPTM,State Street® SPDR® Portfolio S&P 1500 Composite Stock Market ETF,4,Average,Gold,3.0,42.7,42.7,36.8,23.2,25.3,38.4
BlackRock,FHLC,Fidelity MSCI Health Care Index ETF,4,Below Average,Bronze,3.0,42.3,42.3,38.4,40.6,39.0,24.1
iShares,IWR,iShares Russell Mid-Cap ETF,4,Average,Silver,3.0,42.2,42.2,43.3,38.5,35.9,43.8
Schwab,SCHG,Schwab U.S. Large-Cap Growth ETF™,4,Average,Silver,3.0,42.2,42.2,42.9,37.5,37.3,48.8
First Trust,FLN,First Trust Latin America AlphaDEX® Fund,5,Average,Silver,3.0,42.2,42.2,42.2,42.2,42.2,46.4
JPMorgan,JMEE,JPMorgan Small & Mid Cap Enhanced Equity ETF,4,Below Average,Bronze,4.0,42.0,42.0,42.0,42.0,46.5,51.8
iShares,IEDI,iShares U.S. Consumer Focused ETF,4,Low,Gold,4.0,42.0,42.0,42.0,42.0,42.0,42.0
First Trust,FTA,First Trust Large Cap Value AlphaDEX® Fund,4,Average,Neutral,2.0,42.0,42.0,42.0,42.0,42.0,21.1
iShares,IVV,iShares Core S&P 500 ETF,4,Average,Gold,3.0,42.0,42.0,36.2,29.0,28.1,38.3
Invesco,DJD,Invesco Dow Jones Industrial Average Dividend ETF,4,Average,Bronze,2.0,41.9,41.9,41.9,41.9,34.5,11.6
iShares,CNYA,iShares MSCI China A ETF,4,Low,Bronze,2.0,41.9,41.9,41.9,41.9,30.3,47.7
